Time,Temp,6011 nw-2-1B,6010 nw-2-11,6009 nw-2-0F,6008 nw-2-0E,6007 nw-2-0D,6006 nw-2-09,6005 nw-2-08,6004 nw-2-07,6003 nw-2-05,6002 nw-2-02,6001 nw-2-01,f-6011 nw-2-1B,f-6010 nw-2-11,f-6009 nw-2-0F,f-6008 nw-2-0E,f-6007 nw-2-0D,f-6006 nw-2-09,f-6005 nw-2-08,f-6004 nw-2-07,f-6003 nw-2-05,f-6002 nw-2-02,f-6001 nw-2-01
42,24.7685,0,1,0,0,1,2,1,0,0,1,0,0,2.01932,0,1.76698,1.94746,4.0923,0.27621,0,0.53825,3.42803,0
43,24.7746,0,2,0,3,1,2,0,0,2,6,0,0,1.87285,0,0,0.01226,1.06972,0.36157,0,0,2.06251,0
44,24.7841,0,0,0,1,2,3,2,1,1,5,0,0,1.30163,0,2.16999,0.2436,3.04982,0,0,0.67218,7.75662,0
45,24.7852,0,0,0,0,0,1,2,0,1,3,0,0,0,0,0.88802,1.91224,2.18262,2.64154,0.75728,1.3771,5.07116,0
46,24.7728,0,3,0,1,0,0,2,0,2,2,1,0,0,0,0,0,0.9089,2.00542,0,0.49116,4.67279,0
47,24.7756,1,0,0,0,2,0,1,0,2,2,1,0,1.42974,0,0.37362,0,0,1.16272,0,0.92568,1.37837,0.19809
48,24.7792,0,1,0,2,1,0,4,0,0,5,1,0.75881,0,0,0,2.01644,0,1.94643,0,1.52086,2.54315,1.83177
49,0.0019,0,1,0,2,3,1,1,0,1,4,0,0,0.04303,0,1.38079,1.86851,0,3.41672,0,0,4.99627,0.05264
50,0.0018,0,3,1,1,0,5,3,0,0,6,3,0,0.34356,0,2.4744,1.72564,1.11456,0.78394,0,0.18468,4.0982,0
51,0.0008,2,1,0,1,0,1,0,0,3,3,0,0,3.20801,0.66938,0.40587,0,4.67578,2.62644,0,0,6.15361,2.67648
52,0.0005,1,1,0,4,0,1,2,0,3,3,1,1.96996,1.94171,0,1.84094,0,2.92549,0,0,0.49584,3.00818,0
53,0.0017,1,3,0,0,0,3,0,0,1,1,3,1.13572,1.21689,0,2.8981,0,0.41816,0.72102,0,3.09334,3.10723,0.20745
54,0.0018,0,0,0,1,0,0,1,0,0,3,0,0.85146,2.5422,0,0,0,1.91913,0,0,0.80521,2.13786,2.5773
55,0.0006,1,0,1,2,1,4,3,1,0,1,2,0,0,0,1.09814,0,0,0.12982,0,0,1.41271,0
56,0.0006,2,1,0,0,3,1,1,0,2,6,1,0.35814,0,0.26811,1.39554,0.66558,3.2161,1.17063,0.42057,0,1.43355,0.73386
57,0.0006,1,1,0,0,1,5,1,0,1,7,0,1.86982,1.05043,0,0,3.02322,1.09932,1.23648,0,2.00991,7.09395,0.92396
58,0.0018,0,2,0,1,3,4,1,0,2,4,1,0.97162,1.96314,0,0,2.48308,5.01611,0.55549,0,1.94246,7.2121,0
